a, 1, 0
b, 2, 1
c, 3, 1
a, 1, 0
b, 2, 1
a, 1, 0
b, 2, 1
a, 1, 0
b, 2, 1
a, 1, 0
b, 2, 1
c, 3, 1
a, 1, 0
b, 2, 1
a, 1, 0
b, 2, 1
a, 1, 0
a, 1, 0
b, 2, 1
c, 3, 1
a, 1, 0
b, 2, 1
a, 1, 0
b, 2, 1
a, 1, 0
a, 1, 0
b, 2, 1
c, 3, 1
a, 1, 0
b, 2, 1
a, 1, 0
b, 2, 1
a, 1, 0
a, 1, 0
b, 2, 1
c, 3, 1
a, 1, 0
b, 2, 1
a, 1, 0
b, 2, 1
a, 1, 0
a, 1, 0
b, 2, 1
c, 3, 1
a, 1, 0
b, 2, 1
a, 1, 0
b, 2, 1
a, 1, 0
a, 1, 0
b, 2, 1
c, 3, 1
a, 1, 0
b, 2, 1
a, 1, 0
b, 2, 1
a, 1, 0
a, 1, 0
b, 2, 1
c, 3, 1
a, 1, 0
b, 2, 1
a, 1, 0
b, 2, 1
a, 1, 0
a, 1, 0
b, 2, 1
c, 3, 1
a, 1, 0
b, 2, 1
a, 1, 0
b, 2, 1
a, 1, 0
a, 1, 0
b, 2, 1
c, 3, 1
a, 1, 0
b, 2, 1
a, 1, 0
b, 2, 1
a, 1, 0
a, 1, 0
b, 2, 1
c, 3, 1
a, 1, 0
b, 2, 1
a, 1, 0
b, 2, 1
a, 1, 0
a, 1, 0
b, 2, 1
c, 3, 1
a, 1, 0
b, 2, 1
a, 1, 0
b, 2, 1
a, 1, 0
a, 1, 0
b, 2, 1
c, 3, 1
a, 1, 0
b, 2, 1
a, 1, 0
b, 2, 1
a, 1, 0
